ID,Latitude,Longitude,n,date_min,date_max,mins,hours,days
1,-18.9819,34.1915,3,2021-05-17 16:00:40 UTC,2021-05-18 22:00:32 UTC,1799.86666666667,29.9977777777778,1.24990740740741
2,-18.9796,34.2398,2,2021-07-31 18:00:40 UTC,2021-08-01 22:00:01 UTC,1679.35,27.9891666666667,1.16621527777778
1,-18.9794,34.2448,2,2021-07-05 16:00:02 UTC,2021-07-06 16:00:02 UTC,1440,24,1
2,-18.9793,34.2446,3,2021-07-04 18:00:23 UTC,2021-07-08 4:00:58 UTC,4920.58333333333,82.0097222222222,3.41707175925926
5,-18.9793,34.2449,2,2021-07-03 22:00:53 UTC,2021-07-06 4:00:40 UTC,3239.78333333333,53.9963888888889,2.24984953703704
9,-18.9793,34.351,3,2021-05-01 6:00:55 UTC,2021-07-29 18:00:05 UTC,128879.166666667,2147.98611111111,89.4994212962963
10,-18.9793,34.3511,5,2021-07-11 9:00:02 UTC,2021-08-09 6:06:12 UTC,41586.1666666667,693.102777777778,28.8792824074074
11,-18.9793,34.3512,9,2021-07-21 16:00:55 UTC,2021-08-05 18:00:03 UTC,21719.1333333333,361.985555555556,15.0827314814815
12,-18.9793,34.3513,4,2021-07-23 18:00:48 UTC,2021-08-02 18:00:42 UTC,14399.9,239.998333333333,9.99993055555556
5,-18.9792,34.3508,9,2021-05-09 14:00:31 UTC,2021-11-08 21:09:26 UTC,264008.916666667,4400.14861111111,183.339525462963
6,-18.9792,34.3509,12,2021-04-27 16:00:20 UTC,2021-10-12 6:00:27 UTC,241320.116666667,4022.00194444444,167.583414351852
7,-18.9792,34.351,8,2021-04-23 14:00:37 UTC,2021-07-30 22:00:01 UTC,141599.4,2359.99,98.3329166666667
8,-18.9792,34.3511,16,2021-07-24 18:00:17 UTC,2021-08-08 6:00:32 UTC,20880.25,348.004166666667,14.5001736111111
9,-18.9792,34.3512,20,2021-07-22 4:00:40 UTC,2021-08-07 18:06:32 UTC,23885.8666666667,398.097777777778,16.5874074074074
2,-18.9791,34.3507,4,2021-06-04 18:00:20 UTC,2021-07-15 9:06:58 UTC,58506.6333333333,975.110555555556,40.6296064814815
3,-18.9791,34.3508,46,2021-04-24 18:00:50 UTC,2021-10-31 9:00:51 UTC,273120.016666667,4552.00027777778,189.666678240741
4,-18.9791,34.3509,424,2021-04-23 10:00:54 UTC,2021-11-07 21:00:33 UTC,285839.65,4763.99416666667,198.499756944444
5,-18.9791,34.351,96,2021-04-23 12:00:32 UTC,2021-11-06 9:00:10 UTC,283559.633333333,4725.99388888889,196.916412037037
6,-18.9791,34.3511,2,2021-08-01 6:00:21 UTC,2021-08-03 6:07:50 UTC,2887.48333333333,48.1247222222222,2.00519675925926
7,-18.9791,34.3512,2,2021-04-29 12:00:20 UTC,2021-07-12 21:00:10 UTC,107099.833333333,1784.99722222222,74.3748842592593
3,-18.979,34.3508,31,2021-04-24 16:00:20 UTC,2021-11-07 9:00:02 UTC,283319.7,4721.995,196.749791666667
4,-18.979,34.3509,347,2021-04-23 22:00:20 UTC,2021-11-10 9:14:00 UTC,288733.666666667,4812.22777777778,200.509490740741
5,-18.979,34.351,74,2021-04-24 4:00:02 UTC,2021-10-25 21:00:33 UTC,265980.516666667,4433.00861111111,184.70869212963
6,-18.979,34.3511,2,2021-05-08 14:00:50 UTC,2021-07-12 10:00:02 UTC,93359.2,1555.98666666667,64.8327777777778
1,-18.9789,34.3509,9,2021-04-24 8:00:56 UTC,2021-11-02 6:06:19 UTC,276425.383333333,4607.08972222222,191.962071759259
2,-18.9789,34.351,2,2021-07-13 20:47:18 UTC,2021-10-29 9:07:56 UTC,154820.633333333,2580.34388888889,107.514328703704
1,-18.9783,34.3483,8,2021-06-18 12:00:02 UTC,2021-07-17 14:00:01 UTC,41879.9833333333,697.999722222222,29.0833217592593
2,-18.9783,34.3484,30,2021-06-16 16:00:50 UTC,2021-07-19 8:00:50 UTC,47040,784,32.6666666666667
3,-18.9783,34.3485,4,2021-06-21 6:00:04 UTC,2021-07-20 6:00:49 UTC,41760.75,696.0125,29.0005208333333
1,-18.9782,34.3483,24,2021-06-16 2:00:56 UTC,2021-07-18 6:00:32 UTC,46319.6,771.993333333333,32.1663888888889
2,-18.9782,34.3484,258,2021-06-15 10:06:17 UTC,2021-07-20 8:00:20 UTC,50274.05,837.900833333333,34.9125347222222
3,-18.9782,34.3485,59,2021-06-15 12:00:02 UTC,2021-07-20 4:00:10 UTC,49920.1333333333,832.002222222222,34.6667592592593
4,-18.9782,34.3486,4,2021-06-18 18:00:56 UTC,2021-07-19 16:00:02 UTC,44519.1,741.985,30.9160416666667
1,-18.9781,34.3483,4,2021-06-27 10:00:10 UTC,2021-07-17 6:00:02 UTC,28559.8666666667,475.997777777778,19.8332407407407
2,-18.9781,34.3484,12,2021-06-16 22:00:32 UTC,2021-07-18 2:00:32 UTC,44880,748,31.1666666666667
3,-18.9781,34.3485,9,2021-06-16 4:00:32 UTC,2021-07-16 8:00:50 UTC,43440.3,724.005,30.166875
2,-18.9761,34.352,7,2021-04-22 14:00:02 UTC,2021-07-11 7:00:32 UTC,114780.5,1913.00833333333,79.7086805555556
3,-18.9761,34.3521,9,2021-04-22 10:00:02 UTC,2021-07-11 6:00:48 UTC,114960.766666667,1916.01277777778,79.8338657407407
2,-18.976,34.3521,6,2021-04-22 12:00:40 UTC,2021-07-11 8:00:10 UTC,114959.5,1915.99166666667,79.8329861111111
5,-18.9616,34.4107,2,2021-03-01 4:00:14 UTC,2021-03-13 6:00:56 UTC,17400.7,290.011666666667,12.0838194444444
3,-18.9581,34.4062,2,2021-03-03 6:00:32 UTC,2021-03-16 6:00:50 UTC,18720.3,312.005,13.0002083333333
1,-18.9555,34.2242,2,2021-10-01 18:00:54 UTC,2021-10-21 22:00:45 UTC,29039.85,483.9975,20.1665625
2,-18.9554,34.2243,2,2021-10-15 4:00:25 UTC,2021-10-18 4:00:48 UTC,4320.38333333333,72.0063888888889,3.0002662037037
3,-18.9554,34.2248,3,2021-07-25 18:00:56 UTC,2021-07-28 18:00:02 UTC,4319.1,71.985,2.999375
3,-18.9553,34.2248,2,2021-07-26 22:00:32 UTC,2021-07-28 22:00:56 UTC,2880.4,48.0066666666667,2.00027777777778
1,-18.9532,34.225,2,2021-11-04 4:00:02 UTC,2021-11-08 4:00:52 UTC,5760.83333333333,96.0138888888889,4.0005787037037
1,-18.9432,34.2137,2,2021-07-13 16:00:02 UTC,2021-07-14 16:00:25 UTC,1440.38333333333,24.0063888888889,1.0002662037037
2,-18.9432,34.2142,2,2021-07-12 6:00:32 UTC,2021-07-15 16:00:20 UTC,4919.8,81.9966666666667,3.41652777777778
3,-18.9432,34.2143,2,2021-07-11 16:00:31 UTC,2021-07-13 6:00:31 UTC,2280,38,1.58333333333333
3,-18.9431,34.214,2,2021-07-12 4:00:20 UTC,2021-07-15 4:00:10 UTC,4319.83333333333,71.9972222222222,2.99988425925926
1,-18.9423,34.4437,3,2021-02-17 1:00:52 UTC,2021-02-19 6:00:56 UTC,3180.06666666667,53.0011111111111,2.20837962962963
2,-18.9396,34.2317,3,2021-06-18 16:00:32 UTC,2021-06-19 18:00:02 UTC,1559.5,25.9916666666667,1.08298611111111
3,-18.9396,34.2319,2,2021-06-17 18:00:32 UTC,2021-06-19 22:00:10 UTC,3119.63333333333,51.9938888888889,2.16641203703704
