ID,Latitude,Longitude,n,date_min,date_max,mins,hours,days
1,-19.2146,33.9221,14,2020-10-02 18:01:25 UTC,2020-10-03 6:08:50 UTC,1440,24,1
1,-19.0824,34.5084,6,2021-09-05 10:47:50 UTC,2021-09-23 8:44:20 UTC,25920,432,18
2,-19.0792,34.5071,4,2021-07-10 20:40:57 UTC,2021-07-11 0:41:40 UTC,1440,24,1
2,-19.0711,34.5162,4,2021-09-14 11:46:26 UTC,2021-09-15 11:52:56 UTC,1440,24,1
2,-19.0532,34.4315,4,2021-04-16 15:23:50 UTC,2021-04-17 15:30:28 UTC,1440,24,1
3,-19.0498,34.5276,3,2021-04-08 22:00:51 UTC,2021-04-09 14:04:01 UTC,1440,24,1
2,-19.0436,34.4366,4,2021-09-18 20:15:10 UTC,2021-09-19 0:16:02 UTC,1440,24,1
3,-19.0426,34.435,4,2021-09-20 20:28:01 UTC,2021-09-21 0:29:10 UTC,1440,24,1
1,-19.0424,34.4007,4,2021-06-24 6:52:01 UTC,2021-06-25 6:59:15 UTC,1440,24,1
3,-19.0423,34.4078,6,2021-05-08 17:48:32 UTC,2021-05-11 6:04:31 UTC,4320,72,3
1,-19.037,34.2173,2,2021-06-13 16:34:31 UTC,2021-06-14 0:37:21 UTC,1440,24,1
1,-19.0346,34.4226,6,2021-10-04 17:58:40 UTC,2021-10-06 2:07:30 UTC,2880,48,2
1,-19.0334,34.4072,4,2021-05-22 19:20:01 UTC,2021-05-23 3:22:40 UTC,1440,24,1
1,-19.0311,34.2686,2,2021-09-12 20:00:53 UTC,2021-09-14 4:00:31 UTC,2880,48,2
2,-19.0291,34.4174,4,2021-07-21 5:48:01 UTC,2021-10-07 2:13:31 UTC,112320,1872,78
3,-19.0288,34.4159,4,2021-04-23 0:05:19 UTC,2021-06-13 21:44:30 UTC,73440,1224,51
4,-19.0288,34.4174,4,2021-07-22 1:53:31 UTC,2021-10-07 10:16:34 UTC,110880,1848,77
1,-19.0287,34.4161,4,2021-06-13 17:43:40 UTC,2021-10-03 9:50:34 UTC,161280,2688,112
2,-19.0287,34.4162,4,2021-08-17 4:41:55 UTC,2021-10-03 17:52:01 UTC,67680,1128,47
1,-19.0286,34.3922,4,2021-06-18 22:17:01 UTC,2021-10-18 23:31:32 UTC,175680,2928,122
3,-19.0277,34.3927,4,2021-08-16 20:39:40 UTC,2021-08-17 0:40:50 UTC,1440,24,1
1,-19.0251,34.4175,4,2021-02-18 21:12:31 UTC,2021-02-19 5:15:02 UTC,1440,24,1
3,-19.0244,34.3884,4,2021-04-26 8:27:01 UTC,2021-05-12 10:12:50 UTC,23040,384,16
4,-19.0241,34.3879,4,2021-04-26 12:28:32 UTC,2021-05-12 14:13:25 UTC,23040,384,16
