specimenid,species,mne,landscape,latitude,longitude
PPG2017-B-21,Warthog,1,Midlands Rocky Riparian,-18.968221,34.231373
PPG2016-B-7,Hippo,1,Midlands Rocky Riparian,-18.54834,34.31118
PPG2016-B-8,Warthog,1,Midlands Rocky Riparian,-18.54834,34.31118
PPG2022-B-151,Waterbuck,56,Midlands Rocky Riparian,-18.71417,34.24296
PPG2022-B-153,Waterbuck,62,Midlands Rocky Riparian,-18.71861,34.24133
PPG2022-B-166,Waterbuck,16,Midlands Rocky Riparian,-18.71663,34.2305
PPG2022-B-172,Kudu,8,Midlands Rocky Riparian,-18.73355,34.24485
PPG2017-B-36,Baboon,1,Midlands Rocky Riparian,-18.934645,34.614676
PPG2017-B-35,Elephant,1,Midlands Rocky Riparian,-18.934645,34.614676
PPG2016-B-31,Blue wildebeest,1,Rift Valley Alluvial Fan,-18.937393,34.2486159
PPG2019-B-26,Waterbuck,1,Rift Valley Alluvial Fan,-18.8462171,34.2659377
PPG2019-B-27,Reedbuck,1,Rift Valley Alluvial Fan,-18.8484579,34.2614087
PPG2019-B-28,Waterbuck,1,Rift Valley Alluvial Fan,-18.8469492,34.2657348
PPG2019-B-39,Waterbuck,1,Rift Valley Alluvial Fan,-18.95771,34.2781
PPG2019-B-45,Waterbuck,1,Rift Valley Alluvial Fan,-18.855076,34.33287
PPG2019-B-51,Waterbuck,1,Rift Valley Alluvial Fan,-18.84529,34.32757
PPG2019-B-52,Warthog,1,Rift Valley Alluvial Fan,-18.85049,34.32684
PPG2019-B-53,Waterbuck,1,Rift Valley Alluvial Fan,-18.83731,34.32877
PPG2019-B-54,Warthog,1,Rift Valley Alluvial Fan,-18.83208,34.33215
PPG2019-B-57,Waterbuck,1,Rift Valley Alluvial Fan,-18.81159,34.32204
PPG2019-B-58,Warthog,1,Rift Valley Alluvial Fan,-18.82522,34.32208
PPG2019-B-59,Oribi,1,Rift Valley Alluvial Fan,-18.82624,34.32173
PPG2019-B-60,Baboon,1,Rift Valley Alluvial Fan,-18.82624,34.32173
PPG2019-B-61,Waterbuck,1,Rift Valley Alluvial Fan,-18.82624,34.32173
PPG2019-B-80,Hippo,1,Rift Valley Alluvial Fan,-18.608611,34.49888
PPG2022-B-108,Warthog,7,Rift Valley Alluvial Fan,-18.9791815,34.262866
PPPG2017-B-35,Waterbuck,1,Rift Valley Alluvial Fan,-18.86429,34.364999
PPG2019B-39,Buffalo,1,Rift Valley Alluvial Fan,-18.95771,34.2781
PPG2019B-57,Waterbuck,1,Rift Valley Alluvial Fan,-18.81159,34.32204
PPG2022-B-164,Blue wildebeest,82,Rift Valley Alluvial Fan,-19.01033,34.25905
PPG2022-B-104,Blue wildebeest,46,Rift Valley Alluvial Fan,-18.9775708,34.2599036
PPG2017-B-40,Buffalo,1,Rift Valley Alluvial Fan,-19.025769,34.533519
PPG-B-,Blue wildebeest,1,Rift Valley Alluvial Fan,-18.93898,34.37644
PPG2017-B-,Blue wildebeest,1,Rift Valley Alluvial Fan,-18.93898,34.37644
PPG2018-B-1,Hyrax,1,Rift Valley Alluvial Fan,-18.928442,34.3404557
PPG2019-B-29,Warthog,1,Rift Valley Alluvial Fan,-18.9936835,34.4716104
PPG2019-B-30,Waterbuck,1,Rift Valley Alluvial Fan,-18.9559818,34.521066
PPG2019-B-40,Bushbuck,1,Rift Valley Alluvial Fan,-18.97498,34.32092
PPG2019-B-41,Warthog,1,Rift Valley Alluvial Fan,-18.94875,34.33162
PPG2019-B-44,Waterbuck,1,Rift Valley Alluvial Fan,-18.94219,34.33656
