ID,Latitude,Longitude,n,date_min,date_max,mins,hours,days
3,-19.0657,34.527,4,2020-11-22 14:00:02 UTC,2020-11-28 4:55:19 UTC,8095.28333333333,134.921388888889,5.62172453703704
2,-19.0656,34.527,4,2020-11-22 10:17:50 UTC,2020-11-27 10:50:03 UTC,7232.21666666667,120.536944444444,5.02237268518519
3,-19.0656,34.5271,4,2020-11-23 14:00:23 UTC,2020-11-28 6:00:07 UTC,6719.73333333333,111.995555555556,4.66648148148148
2,-19.0552,34.5078,4,2020-12-25 14:00:10 UTC,2021-03-17 14:00:32 UTC,118080.366666667,1968.00611111111,82.0002546296296
1,-19.0536,34.5073,4,2020-11-06 11:24:26 UTC,2020-11-08 11:37:32 UTC,2893.1,48.2183333333333,2.00909722222222
3,-19.0525,34.5238,4,2020-12-10 0:10:50 UTC,2020-12-29 20:19:42 UTC,28568.8666666667,476.147777777778,19.8394907407407
2,-19.0393,34.5176,4,2020-12-04 14:00:40 UTC,2021-04-06 15:00:51 UTC,177120.183333333,2952.00305555556,123.000127314815
3,-19.0351,34.5136,4,2020-12-03 5:26:56 UTC,2021-04-06 6:00:03 UTC,178533.116666667,2975.55194444444,123.981331018519
3,-19.034,34.5257,4,2021-09-21 17:00:32 UTC,2021-10-04 3:00:21 UTC,17879.8166666667,297.996944444445,12.4165393518519
3,-19.0327,34.5318,4,2020-12-17 14:00:23 UTC,2021-02-20 16:00:31 UTC,93720.1333333333,1562.00222222222,65.0834259259259
8,-19.031,34.5301,4,2021-10-01 17:00:02 UTC,2021-10-02 17:00:52 UTC,1440.83333333333,24.0138888888889,1.0005787037037
2,-19.0305,34.5211,4,2021-06-18 15:00:22 UTC,2021-06-21 3:00:47 UTC,3600.41666666667,60.0069444444445,2.50028935185185
3,-19.0305,34.5213,4,2021-06-22 5:00:56 UTC,2021-07-16 17:00:09 UTC,35279.2166666667,587.986944444445,24.4994560185185
4,-19.0304,34.5217,4,2021-07-11 15:00:02 UTC,2021-07-21 3:00:10 UTC,13680.1333333333,228.002222222222,9.50009259259259
5,-19.0303,34.5214,4,2021-06-11 17:00:26 UTC,2021-06-13 3:00:02 UTC,2039.6,33.9933333333333,1.41638888888889
6,-19.0303,34.5215,14,2021-06-22 3:00:56 UTC,2021-07-15 3:00:32 UTC,33119.6,551.993333333333,22.9997222222222
9,-19.0303,34.5219,4,2021-07-09 3:00:53 UTC,2021-07-18 3:00:06 UTC,12959.2166666667,215.986944444444,8.99945601851852
12,-19.0303,34.5222,4,2021-06-23 5:00:56 UTC,2021-06-30 15:00:07 UTC,10679.1833333333,177.986388888889,7.41609953703704
2,-19.0302,34.5208,4,2021-06-10 3:00:43 UTC,2021-07-06 17:00:40 UTC,38279.95,637.999166666667,26.5832986111111
3,-19.0302,34.5209,4,2021-07-07 3:00:22 UTC,2021-07-08 3:00:48 UTC,1440.43333333333,24.0072222222222,1.00030092592593
4,-19.0302,34.5215,6,2021-06-12 17:00:40 UTC,2021-07-13 17:00:32 UTC,44639.8666666667,743.997777777778,30.9999074074074
5,-19.0302,34.5218,6,2021-07-12 3:00:49 UTC,2021-07-18 5:00:57 UTC,8760.13333333333,146.002222222222,6.08342592592593
6,-19.0302,34.5219,12,2021-07-09 17:00:04 UTC,2021-07-19 17:00:31 UTC,14400.45,240.0075,10.0003125
7,-19.0302,34.522,10,2021-07-12 6:00:36 UTC,2021-07-20 3:00:10 UTC,11339.5666666667,188.992777777778,7.87469907407407
4,-19.0301,34.5213,10,2021-06-26 5:00:02 UTC,2021-07-02 5:00:40 UTC,8640.63333333333,144.010555555556,6.00043981481482
8,-19.0301,34.5218,10,2021-06-28 6:00:52 UTC,2021-07-15 3:00:50 UTC,24299.9666666667,404.999444444444,16.8749768518519
9,-19.0301,34.5219,12,2021-07-05 3:00:50 UTC,2021-07-19 6:00:26 UTC,20339.6,338.993333333333,14.1247222222222
3,-19.03,34.5209,6,2021-06-09 17:00:32 UTC,2021-06-27 5:00:17 UTC,25199.75,419.995833333333,17.4998263888889
5,-19.03,34.5213,14,2021-06-25 17:06:32 UTC,2021-07-02 3:00:53 UTC,9234.35,153.905833333333,6.41274305555556
6,-19.03,34.5214,10,2021-06-24 17:00:32 UTC,2021-07-04 3:00:24 UTC,13559.8666666667,225.997777777778,9.41657407407407
7,-19.03,34.5216,4,2021-06-27 17:00:10 UTC,2021-07-18 6:00:18 UTC,29580.1333333333,493.002222222222,20.5417592592593
8,-19.03,34.5219,4,2021-07-03 5:00:02 UTC,2021-07-06 3:00:40 UTC,4200.63333333333,70.0105555555556,2.91710648148148
3,-19.0299,34.521,4,2021-07-07 3:00:02 UTC,2021-07-08 15:00:37 UTC,2160.58333333333,36.0097222222222,1.50040509259259
4,-19.0299,34.5213,4,2021-06-29 3:00:55 UTC,2021-07-02 3:00:02 UTC,4319.11666666667,71.9852777777778,2.99938657407407
5,-19.0299,34.5214,8,2021-06-27 6:00:20 UTC,2021-07-04 3:00:02 UTC,9899.7,164.995,6.87479166666667
3,-19.0297,34.5216,4,2021-06-29 15:00:07 UTC,2021-07-26 6:00:02 UTC,38339.9166666667,638.998611111111,26.6249421296296
1,-19.0294,34.5211,4,2021-05-25 6:00:31 UTC,2021-08-05 15:00:20 UTC,104219.816666667,1736.99694444444,72.3748726851852
5,-19.0294,34.5216,4,2021-08-05 3:00:50 UTC,2021-08-07 3:00:40 UTC,2879.83333333333,47.9972222222222,1.99988425925926
5,-19.0293,34.5211,4,2021-07-22 3:00:02 UTC,2021-07-23 3:00:47 UTC,1440.75,24.0125,1.00052083333333
7,-19.0293,34.5213,8,2021-05-25 3:00:32 UTC,2021-07-25 3:00:02 UTC,87839.5,1463.99166666667,60.9996527777778
8,-19.0293,34.5214,4,2021-07-24 15:00:56 UTC,2021-08-03 17:00:07 UTC,14519.1833333333,241.986388888889,10.0827662037037
9,-19.0293,34.5215,6,2021-07-28 17:00:31 UTC,2021-08-08 3:00:40 UTC,15000.15,250.0025,10.4167708333333
10,-19.0293,34.5216,4,2021-08-02 3:00:29 UTC,2021-08-06 3:00:40 UTC,5760.18333333333,96.0030555555556,4.00012731481482
9,-19.0292,34.5213,12,2021-07-23 17:00:02 UTC,2021-07-29 3:00:31 UTC,7800.48333333333,130.008055555556,5.41700231481482
10,-19.0292,34.5214,10,2021-07-24 17:00:26 UTC,2021-08-02 17:00:02 UTC,12959.6,215.993333333333,8.99972222222222
11,-19.0292,34.5215,4,2021-08-02 3:00:10 UTC,2021-08-05 17:00:02 UTC,5159.86666666667,85.9977777777778,3.58324074074074
12,-19.0292,34.5216,12,2021-06-04 6:00:56 UTC,2021-08-08 17:00:40 UTC,94259.7333333333,1570.99555555556,65.4581481481482
16,-19.0292,34.5245,4,2021-09-04 15:00:50 UTC,2021-09-13 3:00:00 UTC,12239.1666666667,203.986111111111,8.4994212962963
17,-19.0292,34.5246,4,2021-09-06 3:00:49 UTC,2021-09-14 17:00:36 UTC,12359.7833333333,205.996388888889,8.58318287037037
5,-19.0291,34.5209,6,2021-05-25 5:00:49 UTC,2021-08-11 3:00:30 UTC,112199.683333333,1869.99472222222,77.9164467592593
8,-19.0291,34.5213,6,2021-07-24 3:00:02 UTC,2021-08-10 17:00:32 UTC,25320.5,422.008333333333,17.5836805555556
9,-19.0291,34.5215,6,2021-06-03 6:00:55 UTC,2021-08-10 3:00:50 UTC,97739.9166666667,1628.99861111111,67.8749421296296
12,-19.0291,34.5244,6,2021-09-09 3:00:31 UTC,2021-09-12 3:00:22 UTC,4319.85,71.9975,2.99989583333333
9,-19.029,34.5247,6,2021-09-04 17:00:30 UTC,2021-09-17 6:00:31 UTC,18060.0166666667,301.000277777778,12.5416782407407
10,-19.029,34.5248,6,2021-09-06 3:00:40 UTC,2021-09-15 17:00:33 UTC,13799.8833333333,229.998055555556,9.58325231481481
6,-19.0289,34.5216,4,2021-07-28 15:00:24 UTC,2021-08-02 15:00:56 UTC,7200.53333333333,120.008888888889,5.00037037037037
15,-19.0288,34.525,8,2021-09-12 3:00:32 UTC,2021-09-25 3:00:31 UTC,18719.9833333333,311.999722222222,12.9999884259259
5,-19.0287,34.525,4,2021-09-08 3:00:58 UTC,2021-09-27 3:00:54 UTC,27359.9333333333,455.998888888889,18.9999537037037
4,-19.0286,34.5242,4,2021-09-03 3:00:10 UTC,2021-09-04 3:00:20 UTC,1440.16666666667,24.0027777777778,1.00011574074074
3,-19.0283,34.5243,4,2021-08-22 15:00:02 UTC,2021-09-03 17:00:06 UTC,17400.0666666667,290.001111111111,12.0833796296296
6,-19.0282,34.5242,4,2021-08-17 3:00:54 UTC,2021-09-04 3:00:20 UTC,25919.4333333333,431.990555555556,17.9996064814815
6,-19.0281,34.5241,4,2021-08-13 3:00:40 UTC,2021-08-14 17:00:38 UTC,2279.96666666667,37.9994444444444,1.58331018518519
7,-19.0281,34.5242,6,2021-08-14 3:00:21 UTC,2021-08-28 15:00:50 UTC,20880.4833333333,348.008055555556,14.5003356481481
5,-19.028,34.524,6,2021-08-13 5:00:11 UTC,2021-08-26 3:00:32 UTC,18600.35,310.005833333333,12.9169097222222
6,-19.028,34.5241,4,2021-08-12 6:00:01 UTC,2021-08-23 3:00:02 UTC,15660.0166666667,261.000277777778,10.8750115740741
7,-19.028,34.5242,4,2021-08-14 5:00:14 UTC,2021-08-16 5:00:08 UTC,2879.9,47.9983333333333,1.99993055555556
9,-19.028,34.5244,4,2021-08-25 3:00:59 UTC,2021-08-27 6:00:02 UTC,3059.05,50.9841666666667,2.12434027777778
5,-19.0279,34.5239,8,2021-08-13 17:00:15 UTC,2021-08-25 6:00:02 UTC,16619.7833333333,276.996388888889,11.5415162037037
6,-19.0279,34.524,12,2021-08-16 17:00:32 UTC,2021-09-01 6:00:31 UTC,22379.9833333333,372.999722222222,15.5416550925926
7,-19.0279,34.5241,4,2021-08-15 3:00:13 UTC,2021-08-27 3:00:02 UTC,17279.8166666667,287.996944444445,11.9998726851852
8,-19.0279,34.5242,6,2021-08-16 3:00:54 UTC,2021-08-24 3:00:20 UTC,11519.4333333333,191.990555555556,7.99960648148148
4,-19.0278,34.524,6,2021-08-24 3:00:21 UTC,2021-08-29 3:00:32 UTC,7200.18333333333,120.003055555556,5.00012731481482
6,-19.0278,34.5242,6,2021-08-15 3:00:09 UTC,2021-08-27 3:00:18 UTC,17280.15,288.0025,12.0001041666667
8,-19.0278,34.5259,4,2021-09-25 17:00:57 UTC,2021-09-29 3:00:29 UTC,4919.53333333333,81.9922222222222,3.41634259259259
